material_id,polymer,form,case_id,bulk_density_kg_m3,aspect_ratio,wall_friction,inter_particle_friction,throat_fill,agitator_rpm,auger_rpm,screen_discharge_variability,bridge_index,bridge_clear_cycles,mass_per_rev_g,unobstructed_feed_g_h,effective_feed_g_h,estimated_torque_nm,estimated_current_a
PLA_SUPPORT,PLA,support fragments,center,320,2.5,0.32,0.38,0.66,14.0,12.0,0.2,0.3244285714285714,2,0.36028576270056534,259.405749144407,244.25719455365694,1.0741428571428573,2.252697142857143
PLA_SUPPORT,PLA,support fragments,oat_bulk_density_kg_m3_low,250,2.5,0.32,0.38,0.66,14.0,12.0,0.2,0.3244285714285714,2,0.28147325210981666,202.66074151906798,190.82593324504447,1.0741428571428573,2.252697142857143
PLA_SUPPORT,PLA,support fragments,oat_bulk_density_kg_m3_high,390,2.5,0.32,0.38,0.66,14.0,12.0,0.2,0.3244285714285714,2,0.43909827329131396,316.15075676974607,297.6884558622694,1.0741428571428573,2.252697142857143
PLA_SUPPORT,PLA,support fragments,oat_aspect_ratio_low,320,1.5,0.32,0.38,0.66,14.0,12.0,0.2,0.24842857142857142,1,0.37344903310423955,268.88330383505246,256.85961072555983,0.9861428571428572,2.118937142857143
PLA_SUPPORT,PLA,support fragments,oat_aspect_ratio_high,320,4.0,0.32,0.38,0.66,14.0,12.0,0.2,0.4384285714285715,2,0.34054085709505405,245.1894171084389,225.83976885143264,1.206142857142857,2.4533371428571424
PLA_SUPPORT,PLA,support fragments,oat_wall_friction_low,320,2.5,0.26,0.38,0.66,14.0,12.0,0.2,0.2472857142857143,1,0.3920186467094228,282.2534256307844,269.6899224367787,0.8470000000000001,1.9074400000000002
PLA_SUPPORT,PLA,support fragments,oat_wall_friction_high,320,2.5,0.4,0.38,0.66,14.0,12.0,0.2,0.42728571428571427,2,0.3179752506887554,228.94218049590387,211.33391033370606,1.3770000000000002,2.7130400000000003
PLA_SUPPORT,PLA,support fragments,oat_inter_particle_friction_low,320,2.5,0.32,0.3,0.66,14.0,12.0,0.2,0.2294285714285714,1,0.38702365570802855,278.6570321097806,267.14929284659553,0.8491428571428572,1.9106971428571429
PLA_SUPPORT,PLA,support fragments,oat_inter_particle_friction_high,320,2.5,0.32,0.46,0.66,14.0,12.0,0.2,0.4194285714285715,2,0.333547869693102,240.15446617903345,222.0234901381341,1.2991428571428574,2.594697142857143
PLA_SUPPORT,PLA,support fragments,oat_agitator_rpm_low,320,2.5,0.32,0.38,0.66,8.0,12.0,0.2,0.41871428571428565,2,0.36028576270056534,259.405749144407,239.8547084110347,1.0741428571428573,2.252697142857143
PLA_SUPPORT,PLA,support fragments,oat_agitator_rpm_high,320,2.5,0.32,0.38,0.66,20.0,12.0,0.2,0.23014285714285707,1,0.36028576270056534,259.405749144407,248.65968069627914,1.0741428571428573,2.252697142857143
PLA_SUPPORT,PLA,support fragments,oat_auger_rpm_low,320,2.5,0.32,0.38,0.66,14.0,4.0,0.2,0.3244285714285714,2,0.36028576270056534,86.46858304813568,81.41906485121899,0.9781428571428572,2.106777142857143
PLA_SUPPORT,PLA,support fragments,oat_auger_rpm_high,320,2.5,0.32,0.38,0.66,14.0,20.0,0.2,0.3244285714285714,2,0.36028576270056534,432.3429152406784,407.0953242560949,1.1701428571428572,2.398617142857143
PLA_SUPPORT,PLA,support fragments,oat_throat_fill_low,320,2.5,0.32,0.38,0.58,14.0,12.0,0.2,0.39442857142857146,2,0.33971815269482436,244.59706994027354,227.2313768232854,0.9841428571428571,2.115897142857143
PLA_SUPPORT,PLA,support fragments,oat_throat_fill_high,320,2.5,0.32,0.38,0.74,14.0,12.0,0.2,0.25442857142857145,1,0.38085337270630626,274.2144283485405,261.6561909999726,1.1641428571428571,2.389497142857143
PLA_SUPPORT,PLA,support fragments,oat_screen_discharge_variability_low,320,2.5,0.32,0.38,0.66,14.0,12.0,0.05,0.3004285714285714,2,0.36028576270056534,259.405749144407,245.37782738996077,1.0741428571428573,2.252697142857143
PLA_SUPPORT,PLA,support fragments,oat_screen_discharge_variability_high,320,2.5,0.32,0.38,0.66,14.0,12.0,0.4,0.3564285714285713,2,0.36028576270056534,259.405749144407,242.76301743858517,1.0741428571428573,2.252697142857143
PLA_SUPPORT,PLA,support fragments,corner_00,250,1.5,0.26,0.3,0.58,8.0,4.0,0.05,0.2165714285714286,1,0.32136890633970255,77.12853752152861,74.12184676168937,0.348,1.14896
PLA_SUPPORT,PLA,support fragments,corner_01,390,1.5,0.26,0.3,0.58,8.0,20.0,0.05,0.2165714285714286,1,0.501335493889936,601.6025926679232,578.1504047411771,0.54,1.4408
PLA_SUPPORT,PLA,support fragments,corner_02,250,4.0,0.26,0.3,0.74,8.0,4.0,0.05,0.2665714285714286,1,0.3277962844664966,78.67110827195918,74.89624372247552,0.748,1.7569599999999999
PLA_SUPPORT,PLA,support fragments,corner_03,390,4.0,0.26,0.3,0.74,8.0,20.0,0.05,0.2665714285714286,1,0.5113622037677347,613.6346445212816,584.1907010353091,0.94,2.0488
PLA_SUPPORT,PLA,support fragments,corner_04,250,1.5,0.4,0.3,0.58,8.0,4.0,0.4,0.4525714285714286,2,0.26352250319855614,63.24540076765347,58.09324971997537,0.8780000000000001,1.9545600000000003
PLA_SUPPORT,PLA,support fragments,corner_05,390,1.5,0.4,0.3,0.58,8.0,20.0,0.4,0.4525714285714286,2,0.41109510498974755,493.3141259876971,453.12734781580787,1.07,2.2464
PLA_SUPPORT,PLA,support fragments,corner_06,250,4.0,0.4,0.3,0.74,8.0,4.0,0.4,0.5025714285714286,2,0.26994988132535014,64.78797151808403,58.9270665060681,1.278,2.56256
PLA_SUPPORT,PLA,support fragments,corner_07,390,4.0,0.4,0.3,0.74,8.0,20.0,0.4,0.5025714285714286,2,0.42112181486754624,505.34617784105546,459.6311187473312,1.47,2.8544
PLA_SUPPORT,PLA,support fragments,corner_08,250,1.5,0.26,0.46,0.58,8.0,4.0,0.05,0.40657142857142864,2,0.2795909485155412,67.10182764372989,62.19112417725419,0.798,1.83296
PLA_SUPPORT,PLA,support fragments,corner_09,390,1.5,0.26,0.46,0.58,8.0,20.0,0.05,0.40657142857142864,2,0.4361618796842443,523.3942556210932,485.0907685825827,0.99,2.1248
PLA_SUPPORT,PLA,support fragments,corner_10,250,4.0,0.26,0.46,0.74,8.0,4.0,0.05,0.45657142857142863,2,0.2860183266423353,68.64439839416048,63.00300560727582,1.198,2.44096
PLA_SUPPORT,PLA,support fragments,corner_11,390,4.0,0.26,0.46,0.74,8.0,20.0,0.05,0.45657142857142863,2,0.44618858956204305,535.4263074744516,491.42344373675127,1.39,2.7328
PLA_SUPPORT,PLA,support fragments,corner_12,250,1.5,0.4,0.46,0.58,8.0,4.0,0.4,0.6425714285714287,3,0.22174454537439478,53.21869088985475,47.063265048131605,1.328,2.63856
PLA_SUPPORT,PLA,support fragments,corner_13,390,1.5,0.4,0.46,0.58,8.0,20.0,0.4,0.6425714285714287,3,0.3459214907840559,415.10578894086706,367.09346737542654,1.52,2.9304
PLA_SUPPORT,PLA,support fragments,corner_14,250,4.0,0.4,0.46,0.74,8.0,4.0,0.4,0.6925714285714285,3,0.2281719235011888,54.76126164028531,47.934566303459796,1.728,3.24656
