part_id,X_mm,Y_mm,Z_mm,solid_count,volume_mm3,status
FR-2020-360,360.0,20.0,20.0,1,51840.0,OWNED_SLOT_PATTERN_TO_MEASURE
FR-2020-400,400.0,20.0,20.0,1,57600.000000000015,OWNED_SLOT_PATTERN_TO_MEASURE
FR-2020-590,590.0,20.0,20.0,1,84960.00000000001,OWNED_SLOT_PATTERN_TO_MEASURE
FR-2040-320,320.0,40.0,20.0,1,71679.99999999994,OWNED_SLOT_PATTERN_TO_MEASURE
FR-2040-400,400.0,40.0,20.0,1,89599.99999999996,OWNED_SLOT_PATTERN_TO_MEASURE
FR-2040-630,630.0,40.0,20.0,1,141120.0,OWNED_SLOT_PATTERN_TO_MEASURE
FR-BASE,630.0,400.0,3.0,1,756000.0,SHEET_DFM_HOLD
EL-PSU,240.0,120.0,65.0,1,1872000.0,OWNED_MOUNTING_PATTERN_UNMEASURED
DRV-M1,60.5,211.8,60.5,1,535701.8157838964,DATASHEET_INTERFACE_REFERENCE
DRV-M2,60.5,192.8,60.5,1,480560.9742271704,DATASHEET_INTERFACE_REFERENCE
DRV-M1-PL,70.0,6.0,65.0,1,21022.720887009145,CUSTOM_DFM_HOLD
DRV-CPL12,32.0000002,28.000000200000002,32.0000002,1,17944.351859654922,CLAMP_TORQUE_HOLD
DRV-IN-SHAFT,12.0,157.0,12.0,1,17076.976326549524,CUSTOM_DFM_HOLD
DRV-JACK,20.0,168.0,20.0,1,50970.886850344184,CUSTOM_DFM_HOLD
BR-6205,52.0,15.0,52.0,1,24492.641725549423,DATASHEET_BOUNDARY
BR-6001,28.0,8.0,28.0,1,4021.238596594936,DATASHEET_BOUNDARY
BR-6204,47.0,14.0,47.0,1,19890.993886203774,DATASHEET_BOUNDARY
BR-51102,28.0,9.0,28.0,1,3951.338160052562,DATASHEET_BOUNDARY
BR-6202,35.0,11.0,35.0,1,8639.379797371928,STANDARD_SIZE_VERIFY_MPN
BR-6007,62.0,14.0,62.0,1,28797.409059130838,STANDARD_SIZE_VERIFY_MPN
BR-625,16.0,5.0,16.0,1,907.1348787240529,STANDARD_SIZE_VERIFY_MPN
DRV-BFRONT,140.0,18.0,67.5,1,119654.19937729914,CUSTOM_DFM_HOLD
DRV-B12,34.0,12.0,60.0,1,15950.575945503717,CUSTOM_DFM_HOLD
DRV-B20,70.0,18.0,75.0,1,60807.73825916396,CUSTOM_DFM_HOLD
DRV-SH15R,35.058285412302496,35.0,35.058285412302496,1,24362.86895851974,COTS_REFERENCE_SECONDARY_BORE_HOLD
DRV-SH15L,35.058285412302496,35.0,35.058285412302496,1,24362.868958519743,COTS_REFERENCE_SECONDARY_BORE_HOLD
DRV-SH40R,86.82209443280664,35.0,86.82209443280664,1,164677.14791393912,COTS_REFERENCE_SECONDARY_BORE_HOLD
DRV-SH40L,86.82209443280664,35.0,86.82209443280664,1,164677.14791393917,COTS_REFERENCE_SECONDARY_BORE_HOLD
DRV-SP24-B20,78.06455792370707,18.0,78.06455792370707,1,40991.368125934874,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD
DRV-SP24-B12,78.06455792370707,18.0,78.06455792370707,1,44755.569987185445,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD
DRV-SP12-B12,41.18254609628417,18.0,41.18254609628417,1,11806.627502568552,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD
DRV-SP24-B25,78.06455792370707,18.0,78.06455792370707,1,37622.92158952604,CHAIN_TOOTH_PROFILE_AND_LOAD_HOLD
S1-CUT-A,78.3376832695411,6.0,77.19911268220122,1,16219.349102199461,CUSTOM_DFM_HOLD
S1-SPACER-A,36.0,6.4,36.0,1,3192.756973816205,CUSTOM_DFM_HOLD
S1-CUT-A-P00,78.3376832695411,6.0,77.19911268220122,1,16219.349102199461,CUSTOM_DFM_HOLD
S1-CUT-A-P01,78.30394527976492,6.0,77.05444980536467,1,16219.349102199476,CUSTOM_DFM_HOLD
S1-CUT-A-P02,78.03380141360782,6.0,77.85503253232241,1,16219.349102199472,CUSTOM_DFM_HOLD
S1-CUT-A-P03,77.41228710207197,6.0,78.28775450076873,1,16219.349102199481,CUSTOM_DFM_HOLD
S1-CUT-A-P04,76.83467052957332,6.0,78.34739966697083,1,16219.349102199483,CUSTOM_DFM_HOLD
S1-CUT-A-P05,77.68876148459997,6.0,78.13115266588035,1,16219.349102199483,CUSTOM_DFM_HOLD
S1-CUT-A-P06,78.21449974536336,6.0,77.60239638250059,1,16219.349102199469,CUSTOM_DFM_HOLD
S1-CUT-A-P07,78.36751029615206,6.0,76.70382934042053,1,16219.349102199472,CUSTOM_DFM_HOLD
S1-CUT-A-P08,78.205224591337,6.0,77.49934292136274,1,16219.349102199481,CUSTOM_DFM_HOLD
S1-CUT-A-P09,77.76938388006226,6.0,78.11794082971988,1,16219.349102199476,CUSTOM_DFM_HOLD
S1-CUT-A-P10,76.96293663861566,6.0,78.36427117530806,1,16219.34910219948,CUSTOM_DFM_HOLD
S1-CUT-A-P11,77.28683328023502,6.0,78.25599512010548,1,16219.349102199489,CUSTOM_DFM_HOLD
S1-CUT-A-P12,77.99810652375245,6.0,77.91319984051177,1,16219.349102199478,CUSTOM_DFM_HOLD
S1-SHAFT-A,25.0,282.0,25.0,1,132040.27719027144,CUSTOM_DFM_HOLD
S1-CUT-B,78.3376832695411,6.0,77.19911268220122,1,16219.349102199481,CUSTOM_DFM_HOLD
S1-SPACER-B,36.0,6.4,36.0,1,3192.756973816205,CUSTOM_DFM_HOLD
S1-CUT-B-P00,78.3376832695411,6.0,77.19911268220122,1,16219.349102199481,CUSTOM_DFM_HOLD
S1-CUT-B-P01,77.99810652375245,6.0,77.91319984051178,1,16219.349102199474,CUSTOM_DFM_HOLD
S1-CUT-B-P02,77.28683328023502,6.0,78.2559951201055,1,16219.349102199483,CUSTOM_DFM_HOLD
S1-CUT-B-P03,76.96293663861566,6.0,78.36427117530806,1,16219.349102199461,CUSTOM_DFM_HOLD
S1-CUT-B-P04,77.76938388006226,6.0,78.11794082971988,1,16219.349102199485,CUSTOM_DFM_HOLD
S1-CUT-B-P05,78.205224591337,6.0,77.49934292136274,1,16219.349102199474,CUSTOM_DFM_HOLD
S1-CUT-B-P06,78.36751029615205,6.0,76.70382934042053,1,16219.349102199465,CUSTOM_DFM_HOLD
S1-CUT-B-P07,78.21449974536336,6.0,77.60239638250059,1,16219.349102199481,CUSTOM_DFM_HOLD
S1-CUT-B-P08,77.68876148459998,6.0,78.13115266588036,1,16219.349102199485,CUSTOM_DFM_HOLD
S1-CUT-B-P09,76.83467052957332,6.0,78.34739966697083,1,16219.349102199485,CUSTOM_DFM_HOLD
S1-CUT-B-P10,77.41228710207197,6.0,78.28775450076873,1,16219.349102199472,CUSTOM_DFM_HOLD
S1-CUT-B-P11,78.03380141360782,6.0,77.85503253232241,1,16219.349102199483,CUSTOM_DFM_HOLD
S1-CUT-B-P12,78.30394527976492,6.0,77.05444980536467,1,16219.349102199467,CUSTOM_DFM_HOLD
S1-SHAFT-B,25.0,250.0,25.0,1,116877.10389366614,CUSTOM_DFM_HOLD
S1-SYNC,63.983008292608886,30.0,63.786647604336785,1,59808.077536360135,COTS_TOOTH_REFERENCE
S1-BPL,160.0,18.0,100.0,1,209082.9412144122,CUSTOM_DFM_HOLD
S1-WALL,160.0,5.0,92.0000000000002,1,65883.81016725393,CUSTOM_DFM_HOLD
S1-SIDE,3.0,162.2,92.0,1,44767.2,CUSTOM_DFM_HOLD
S1-BR-CAP,160.0,3.0,100.0,1,37179.789414359104,CUSTOM_DFM_HOLD
S2-GUIDE,133.87968440620386,10.0,133.87968440620386,1,115679.49685048281,CUSTOM_DFM_HOLD
S2-ROTOR,107.88602814515806,70.0,107.88602814515806,1,322129.4256810228,CUSTOM_DFM_HOLD
S2-ECC,35.0,80.0,35.0,1,67149.06014975798,CUSTOM_DFM_HOLD
S2-SHAFT,12.0,189.0,12.0,1,20635.708365570303,CUSTOM_DFM_HOLD
S2-SUP,178.0,18.0,178.0,1,512665.2011503084,CUSTOM_DFM_HOLD
S2-PIN-F,178.0,6.0,178.0,1,80388.64361638241,CUSTOM_DFM_HOLD
S2-PIN-R,178.0,6.0,178.0,1,80388.64361638241,CUSTOM_DFM_HOLD
S2-PIN,5.0,31.0,5.0,1,608.6835766330224,CUSTOM_DFM_HOLD
S2-CASE-L,17.692408972128177,40.0,64.8003501482033,1,8080.0737486543985,CUSTOM_DFM_HOLD
S2-CASE-R,54.894894442516765,40.0,107.09577486557758,1,16159.53216840956,CUSTOM_DFM_HOLD
S2-SCREEN,99.27935982821953,40.0,24.43293811168533,1,6947.157490593486,CUSTOM_DFM_HOLD
FEED-BUF,190.0000002,48.0000002,73.00000020000002,1,69562.53274074069,CUSTOM_DFM_HOLD
EX-SCREW,16.0,16.0,256.00000000000006,1,29639.72660123136,CUSTOM_DFM_HOLD
EX-BARREL,256.00000020000004,30.0000002,30.0000002,1,124996.82156432193,CUSTOM_DFM_HOLD
EX-REAR,61.0,26.0,26.0,1,12904.877222783474,CUSTOM_DFM_HOLD
EX-CPL,32.0,32.0,32.0,1,21035.319010273863,CLAMP_TORQUE_HOLD
EX-THRUST,39.0,60.0,70.0,1,124455.3400693438,CUSTOM_DFM_HOLD
EX-DIE,20.000000200000002,36.0000002,36.0000002,1,18366.047174141546,CUSTOM_DFM_HOLD
EX-H100,40.0,40.0,40.0,1,21991.148575128547,HEATER_QUOTE_AND_DRAWING_HOLD
EX-H60,6.0,20.0,6.0,1,565.4866776461628,HEATER_QUOTE_AND_DRAWING_HOLD
COOL-TRAY,275.0,80.0,30.0,1,74800.00000000003,CUSTOM_DFM_HOLD
COOL-FAN,80.0,38.0,80.0,1,94541.40642845775,DATASHEET_BODY_HOLE_PATTERN_VERIFY
SPOOL-ENV,70.0,200.0,200.0,1,128158.13071054209,SPOOL_INTERFACE_ONLY
