part_id,quantity,material,slicer_mass_total_g,cost_krw_per_kg,estimated_cost_krw,status
PPR-C01,1,PLA,99.12,18000,1784,PRUSASLICER_ESTIMATE
PPR-C02,1,PLA,243.32,18000,4380,PRUSASLICER_ESTIMATE
PPR-C03,4,PLA,89.04,18000,1603,PRUSASLICER_ESTIMATE
PPR-C04,1,PLA,25.67,18000,462,PRUSASLICER_ESTIMATE
PPR-C05,2,ABS,89.52,18000,1611,PRUSASLICER_ESTIMATE
PPR-C06,2,ABS,38.59,18000,695,PRUSASLICER_ESTIMATE
PPR-C07,1,ABS,80.73,18000,1453,PRUSASLICER_ESTIMATE
PPR-C08,2,PLA,61.02,18000,1098,PRUSASLICER_ESTIMATE
PPR-C09,2,PLA,30.28,18000,545,PRUSASLICER_ESTIMATE
PPR-C10,1,PLA,63.26,18000,1139,PRUSASLICER_ESTIMATE
PPR-C11,1,PLA,43.71,18000,787,PRUSASLICER_ESTIMATE
PPR-C12,8,PLA,39.94,18000,719,PRUSASLICER_ESTIMATE
TOTAL_SLICED,1,PLA/ABS,904.20,18000,16276,PRUSASLICER_ESTIMATE
TOTAL_PLANNING,1,PLA/ABS,1012.70,18000,18229,PRUSASLICER_PLUS_12_PERCENT_RESERVE
