
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.588030E+00 -1.595307E-11 -7.976660E-11
        66  1.588030E+00  1.595318E-11 -7.976490E-11
        67  1.588030E+00  1.595322E-11  7.976571E-11
        68  1.588030E+00 -1.595317E-11  7.976628E-11

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-02  4.825626E-04  9.651252E-05
        66  1.000000E-02 -4.825626E-04  9.651252E-05
        67  1.000000E-02 -4.825626E-04 -9.651252E-05
        68  1.000000E-02  4.825626E-04 -9.651252E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         1   1  1.591563E+00  8.278493E-01  7.913579E-01  1.531936E-01  5.057698E-02  1.705612E-05
         1   2  9.497052E-01  3.346675E-02 -1.024535E-01  1.530937E-01  5.053844E-02  1.705008E-05
         1   3  1.591563E+00  8.278493E-01  7.913579E-01 -1.531936E-01  5.057698E-02 -1.705612E-05
         1   4  9.497052E-01  3.346675E-02 -1.024535E-01 -1.530937E-01  5.053844E-02 -1.705008E-05
         1   5  1.591563E+00  8.278493E-01  7.913579E-01  1.531936E-01 -5.057698E-02 -1.705612E-05
         1   6  9.497052E-01  3.346675E-02 -1.024535E-01  1.530937E-01 -5.053844E-02 -1.705008E-05
         1   7  1.591563E+00  8.278493E-01  7.913579E-01 -1.531936E-01 -5.057698E-02  1.705612E-05
         1   8  9.497052E-01  3.346675E-02 -1.024535E-01 -1.530937E-01 -5.053844E-02  1.705008E-05
         2   1  1.260923E+00  6.541832E-02 -7.347713E-02  3.936561E-02 -1.039781E-02 -9.014317E-07
         2   2  1.280894E+00  4.608572E-02 -1.646602E-03  3.936449E-02 -1.039856E-02 -9.014416E-07
         2   3  1.260923E+00  6.541832E-02 -7.347713E-02 -3.936561E-02 -1.039781E-02  9.014317E-07
         2   4  1.280894E+00  4.608572E-02 -1.646602E-03 -3.936449E-02 -1.039856E-02  9.014416E-07
         2   5  1.260923E+00  6.541832E-02 -7.347713E-02  3.936561E-02  1.039781E-02  9.014317E-07
         2   6  1.280894E+00  4.608572E-02 -1.646602E-03  3.936449E-02  1.039856E-02  9.014416E-07
         2   7  1.260923E+00  6.541832E-02 -7.347713E-02 -3.936561E-02  1.039781E-02 -9.014317E-07
         2   8  1.280894E+00  4.608572E-02 -1.646602E-03 -3.936449E-02  1.039856E-02 -9.014416E-07
         3   1  1.278943E+00  2.831872E-02  1.573499E-02  7.512391E-03  5.300861E-04  8.769727E-09
         3   2  1.262871E+00  4.764711E-03 -2.967030E-03  7.512237E-03  5.300781E-04  8.769649E-09
         3   3  1.278943E+00  2.831872E-02  1.573499E-02 -7.512391E-03  5.300861E-04 -8.769727E-09
         3   4  1.262871E+00  4.764711E-03 -2.967030E-03 -7.512237E-03  5.300781E-04 -8.769649E-09
         3   5  1.278943E+00  2.831872E-02  1.573499E-02  7.512391E-03 -5.300861E-04 -8.769727E-09
         3   6  1.262871E+00  4.764711E-03 -2.967030E-03  7.512237E-03 -5.300781E-04 -8.769649E-09
         3   7  1.278943E+00  2.831872E-02  1.573499E-02 -7.512391E-03 -5.300861E-04  8.769727E-09
         3   8  1.262871E+00  4.764711E-03 -2.967030E-03 -7.512237E-03 -5.300781E-04  8.769649E-09
         4   1  1.271308E+00  4.167688E-03 -7.182302E-04  1.713692E-03 -2.430692E-04 -9.173357E-10
         4   2  1.270520E+00  1.670206E-03 -2.928174E-04  1.713687E-03 -2.430694E-04 -9.173354E-10
         4   3  1.271308E+00  4.167688E-03 -7.182302E-04 -1.713692E-03 -2.430692E-04  9.173358E-10
         4   4  1.270520E+00  1.670206E-03 -2.928174E-04 -1.713687E-03 -2.430694E-04  9.173354E-10
