
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.901255E+00 -1.441276E-11 -7.206241E-11
        66  1.901255E+00  1.441279E-11 -7.206391E-11
        67  1.901255E+00  1.441263E-11  7.206423E-11
        68  1.901255E+00 -1.441268E-11  7.206204E-11

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-02  4.561117E-04  9.122234E-05
        66  1.000000E-02 -4.561117E-04  9.122234E-05
        67  1.000000E-02 -4.561117E-04 -9.122234E-05
        68  1.000000E-02  4.561117E-04 -9.122234E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         1   1  1.825039E+00  8.635301E-01  8.204623E-01  1.778415E-01  5.910274E-02  1.900491E-05
         1   2  1.217468E+00  7.876779E-02 -8.168457E-02  1.777532E-01  5.906710E-02  1.899968E-05
         1   3  1.825039E+00  8.635301E-01  8.204623E-01 -1.778415E-01  5.910274E-02 -1.900491E-05
         1   4  1.217468E+00  7.876779E-02 -8.168457E-02 -1.777532E-01  5.906710E-02 -1.899968E-05
         1   5  1.825039E+00  8.635301E-01  8.204623E-01  1.778415E-01 -5.910274E-02 -1.900491E-05
         1   6  1.217468E+00  7.876779E-02 -8.168457E-02  1.777532E-01 -5.906710E-02 -1.899968E-05
         1   7  1.825039E+00  8.635301E-01  8.204623E-01 -1.778415E-01 -5.910274E-02  1.900491E-05
         1   8  1.217468E+00  7.876779E-02 -8.168457E-02 -1.777532E-01 -5.906710E-02  1.899968E-05
         2   1  1.507430E+00  6.776719E-02 -9.546958E-02  4.391722E-02 -1.318206E-02 -1.047098E-06
         2   2  1.535680E+00  5.216420E-02 -1.472324E-03  4.391616E-02 -1.318305E-02 -1.047111E-06
         2   3  1.507430E+00  6.776719E-02 -9.546958E-02 -4.391722E-02 -1.318206E-02  1.047098E-06
         2   4  1.535680E+00  5.216420E-02 -1.472324E-03 -4.391616E-02 -1.318305E-02  1.047111E-06
         2   5  1.507430E+00  6.776719E-02 -9.546958E-02  4.391722E-02  1.318206E-02  1.047098E-06
         2   6  1.535680E+00  5.216420E-02 -1.472324E-03  4.391616E-02  1.318305E-02  1.047111E-06
         2   7  1.507430E+00  6.776719E-02 -9.546958E-02 -4.391722E-02  1.318206E-02 -1.047098E-06
         2   8  1.535680E+00  5.216420E-02 -1.472324E-03 -4.391616E-02  1.318305E-02 -1.047111E-06
         3   1  1.530176E+00  3.167974E-02  1.947858E-02  8.515374E-03  9.839013E-04  1.515346E-08
         3   2  1.512924E+00  5.944127E-03 -2.668371E-03  8.515227E-03  9.838875E-04  1.515334E-08
         3   3  1.530176E+00  3.167974E-02  1.947858E-02 -8.515374E-03  9.839013E-04 -1.515346E-08
         3   4  1.512924E+00  5.944127E-03 -2.668371E-03 -8.515227E-03  9.838875E-04 -1.515334E-08
         3   5  1.530176E+00  3.167974E-02  1.947858E-02  8.515374E-03 -9.839013E-04 -1.515346E-08
         3   6  1.512924E+00  5.944127E-03 -2.668371E-03  8.515227E-03 -9.838875E-04 -1.515334E-08
         3   7  1.530176E+00  3.167974E-02  1.947858E-02 -8.515374E-03 -9.839013E-04  1.515346E-08
         3   8  1.512924E+00  5.944127E-03 -2.668371E-03 -8.515227E-03 -9.838875E-04  1.515334E-08
         4   1  1.521687E+00  4.238280E-03 -1.710597E-03  1.948234E-03 -3.495507E-04 -1.231719E-09
         4   2  1.521430E+00  2.036841E-03 -2.236726E-04  1.948231E-03 -3.495512E-04 -1.231719E-09
         4   3  1.521687E+00  4.238280E-03 -1.710597E-03 -1.948234E-03 -3.495507E-04  1.231719E-09
         4   4  1.521430E+00  2.036841E-03 -2.236726E-04 -1.948231E-03 -3.495512E-04  1.231719E-09
         4   5  1.521687E+00  4.238280E-03 -1.710597E-03  1.948234E-03  3.495507E-04  1.231719E-09
         4   6  1.521430E+00  2.036841E-03 -2.236726E-04  1.948231E-03  3.495512E-04  1.231719E-09
         4   7  1.521687E+00  4.238280E-03 -1.710597E-03 -1.948234E-03  3.495507E-04 -1.231719E-09
         4   8  1.521430E+00  2.036841E-03 -2.236726E-04 -1.948231E-03  3.495512E-04 -1.231719E-09
