
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.332644E-01 -3.822300E-08 -1.911147E-07
        66  1.332644E-01  3.822300E-08 -1.911148E-07
        67  1.332644E-01  3.822300E-08  1.911148E-07
        68  1.332644E-01 -3.822300E-08  1.911147E-07

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-01  6.583864E-03  1.316775E-03
        66  1.000000E-01 -6.583864E-03  1.316775E-03
        67  1.000000E-01 -6.583864E-03 -1.316775E-03
        68  1.000000E-01  6.583864E-03 -1.316775E-03

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         1   1  3.951103E-01  3.678787E-01  3.666080E-01  9.965533E-03  2.681327E-03  4.001880E-06
         1   2 -1.820700E-01 -2.193520E-01 -2.240662E-01  9.994719E-03  2.689180E-03  4.013601E-06
         1   3  3.951103E-01  3.678787E-01  3.666080E-01 -9.965533E-03  2.681327E-03 -4.001880E-06
         1   4 -1.820700E-01 -2.193520E-01 -2.240662E-01 -9.994719E-03  2.689180E-03 -4.013601E-06
         1   5  3.951103E-01  3.678787E-01  3.666080E-01  9.965533E-03 -2.681327E-03 -4.001880E-06
         1   6 -1.820700E-01 -2.193520E-01 -2.240662E-01  9.994719E-03 -2.689180E-03 -4.013601E-06
         1   7  3.951103E-01  3.678787E-01  3.666080E-01 -9.965533E-03 -2.681327E-03  4.001880E-06
         1   8 -1.820700E-01 -2.193520E-01 -2.240662E-01 -9.994719E-03 -2.689180E-03  4.013601E-06
         2   1  2.280477E-01  1.573203E-01  1.519368E-01  5.692801E-03  8.271354E-04  7.015938E-07
         2   2 -1.412868E-02 -9.061135E-02 -9.444962E-02  5.699792E-03  8.281512E-04  7.024554E-07
         2   3  2.280477E-01  1.573203E-01  1.519368E-01 -5.692801E-03  8.271354E-04 -7.015938E-07
         2   4 -1.412868E-02 -9.061135E-02 -9.444962E-02 -5.699792E-03  8.281512E-04 -7.024554E-07
         2   5  2.280477E-01  1.573203E-01  1.519368E-01  5.692801E-03 -8.271354E-04 -7.015938E-07
         2   6 -1.412868E-02 -9.061135E-02 -9.444962E-02  5.699792E-03 -8.281512E-04 -7.024554E-07
         2   7  2.280477E-01  1.573203E-01  1.519368E-01 -5.692801E-03 -8.271354E-04  7.015938E-07
         2   8 -1.412868E-02 -9.061135E-02 -9.444962E-02 -5.699792E-03 -8.281512E-04  7.024554E-07
         3   1  1.589367E-01  6.771836E-02  6.482924E-02  2.621499E-03  3.180664E-04  1.239687E-07
         3   2  5.525028E-02 -3.862078E-02 -4.048654E-02  2.622877E-03  3.182335E-04  1.240339E-07
         3   3  1.589367E-01  6.771836E-02  6.482924E-02 -2.621499E-03  3.180664E-04 -1.239687E-07
         3   4  5.525028E-02 -3.862078E-02 -4.048654E-02 -2.622877E-03  3.182335E-04 -1.240339E-07
         3   5  1.589367E-01  6.771836E-02  6.482924E-02  2.621499E-03 -3.180664E-04 -1.239687E-07
         3   6  5.525028E-02 -3.862078E-02 -4.048654E-02  2.622877E-03 -3.182335E-04 -1.240339E-07
         3   7  1.589367E-01  6.771836E-02  6.482924E-02 -2.621499E-03 -3.180664E-04  1.239687E-07
         3   8  5.525028E-02 -3.862078E-02 -4.048654E-02 -2.622877E-03 -3.182335E-04  1.240339E-07
         4   1  1.294614E-01  2.919765E-02  2.788525E-02  1.150502E-03  1.326900E-04  2.267610E-08
         4   2  8.482267E-02 -1.660587E-02 -1.743502E-02  1.150763E-03  1.327200E-04  2.268123E-08
         4   3  1.294614E-01  2.919765E-02  2.788525E-02 -1.150502E-03  1.326900E-04 -2.267610E-08
         4   4  8.482267E-02 -1.660587E-02 -1.743502E-02 -1.150763E-03  1.327200E-04 -2.268123E-08
         4   5  1.294614E-01  2.919765E-02  2.788525E-02  1.150502E-03 -1.326900E-04 -2.267609E-08
         4   6  8.482267E-02 -1.660587E-02 -1.743502E-02  1.150763E-03 -1.327200E-04 -2.268123E-08
         4   7  1.294614E-01  2.919765E-02  2.788525E-02 -1.150502E-03 -1.326900E-04  2.267610E-08
         4   8  8.482267E-02 -1.660587E-02 -1.743502E-02 -1.150763E-03 -1.327200E-04  2.268123E-08
         5   1  1.167842E-01  1.259382E-02  1.202001E-02  4.986265E-04  5.671578E-05  4.199029E-09
         5   2  9.753841E-02 -7.156945E-03 -7.517408E-03  4.986752E-04  5.672131E-05  4.199439E-09
         5   3  1.167842E-01  1.259382E-02  1.202001E-02 -4.986265E-04  5.671578E-05 -4.199028E-09
         5   4  9.753841E-02 -7.156945E-03 -7.517408E-03 -4.986752E-04  5.672131E-05 -4.199439E-09
         5   5  1.167842E-01  1.259382E-02  1.202001E-02  4.986265E-04 -5.671578E-05 -4.199027E-09
         5   6  9.753841E-02 -7.156945E-03 -7.517408E-03  4.986752E-04 -5.672131E-05 -4.199436E-09
         5   7  1.167842E-01  1.259382E-02  1.202001E-02 -4.986265E-04 -5.671578E-05  4.199027E-09
         5   8  9.753841E-02 -7.156945E-03 -7.517408E-03 -4.986752E-04 -5.672131E-05  4.199437E-09
         6   1  1.113198E-01  5.432538E-03  5.184129E-03  2.153690E-04  2.440519E-05  7.802988E-10
         6   2  1.030189E-01 -3.086464E-03 -3.242272E-03  2.153780E-04  2.440622E-05  7.803309E-10
         6   3  1.113198E-01  5.432538E-03  5.184129E-03 -2.153690E-04  2.440519E-05 -7.802983E-10
         6   4  1.030189E-01 -3.086464E-03 -3.242272E-03 -2.153780E-04  2.440622E-05 -7.803303E-10
         6   5  1.113198E-01  5.432538E-03  5.184129E-03  2.153690E-04 -2.440519E-05 -7.802959E-10
         6   6  1.030189E-01 -3.086464E-03 -3.242272E-03  2.153780E-04 -2.440622E-05 -7.803297E-10
         6   7  1.113198E-01  5.432538E-03  5.184129E-03 -2.153690E-04 -2.440519E-05  7.802966E-10
         6   8  1.030189E-01 -3.086464E-03 -3.242272E-03 -2.153780E-04 -2.440622E-05  7.803299E-10
         7   1  1.089630E-01  2.343465E-03  2.236209E-03  9.293562E-05  1.052065E-05  1.451408E-10
         7   2  1.053824E-01 -1.331230E-03 -1.398475E-03  9.293731E-05  1.052085E-05  1.451438E-10
         7   3  1.089630E-01  2.343465E-03  2.236209E-03 -9.293562E-05  1.052065E-05 -1.451402E-10
         7   4  1.053824E-01 -1.331230E-03 -1.398475E-03 -9.293731E-05  1.052085E-05 -1.451433E-10
         7   5  1.089630E-01  2.343465E-03  2.236209E-03  9.293562E-05 -1.052065E-05 -1.451398E-10
         7   6  1.053824E-01 -1.331230E-03 -1.398475E-03  9.293731E-05 -1.052085E-05 -1.451418E-10
         7   7  1.089630E-01  2.343465E-03  2.236209E-03 -9.293562E-05 -1.052065E-05  1.451399E-10
         7   8  1.053824E-01 -1.331230E-03 -1.398475E-03 -9.293731E-05 -1.052085E-05  1.451422E-10
         8   1  1.079464E-01  1.010949E-03  9.646718E-04  4.009282E-05  4.537429E-06  2.700475E-11
         8   2  1.064019E-01 -5.741599E-04 -6.031704E-04  4.009313E-05  4.537464E-06  2.700430E-11
         8   3  1.079464E-01  1.010949E-03  9.646718E-04 -4.009282E-05  4.537429E-06 -2.700434E-11
         8   4  1.064019E-01 -5.741599E-04 -6.031704E-04 -4.009313E-05  4.537464E-06 -2.700394E-11
         8   5  1.079464E-01  1.010949E-03  9.646718E-04  4.009282E-05 -4.537429E-06 -2.700287E-11
         8   6  1.064019E-01 -5.741599E-04 -6.031704E-04  4.009313E-05 -4.537464E-06 -2.700369E-11
         8   7  1.079464E-01  1.010949E-03  9.646718E-04 -4.009282E-05 -4.537429E-06  2.700332E-11
         8   8  1.064019E-01 -5.741599E-04 -6.031704E-04 -4.009313E-05 -4.537464E-06  2.700418E-11
         9   1  1.075079E-01  4.361516E-04  4.161882E-04  1.729487E-05  1.957174E-06  5.024487E-12
         9   2  1.068417E-01 -2.475974E-04 -2.601118E-04  1.729493E-05  1.957181E-06  5.024487E-12
         9   3  1.075079E-01  4.361516E-04  4.161882E-04 -1.729487E-05  1.957174E-06 -5.024144E-12
         9   4  1.068417E-01 -2.475974E-04 -2.601118E-04 -1.729493E-05  1.957181E-06 -5.024208E-12
         9   5  1.075079E-01  4.361516E-04  4.161882E-04  1.729487E-05 -1.957174E-06 -5.024377E-12
         9   6  1.068417E-01 -2.475974E-04 -2.601118E-04  1.729493E-05 -1.957181E-06 -5.024419E-12
         9   7  1.075079E-01  4.361516E-04  4.161882E-04 -1.729487E-05 -1.957174E-06  5.024838E-12
         9   8  1.068417E-01 -2.475974E-04 -2.601118E-04 -1.729493E-05 -1.957181E-06  5.024805E-12
        10   1  1.073188E-01  1.882057E-04  1.795941E-04  7.460252E-06  8.442234E-07  9.347796E-13
        10   2  1.070314E-01 -1.067311E-04 -1.121294E-04  7.460263E-06  8.442247E-07  9.345021E-13
        10   3  1.073188E-01  1.882057E-04  1.795941E-04 -7.460252E-06  8.442234E-07 -9.344507E-13
        10   4  1.070314E-01 -1.067311E-04 -1.121294E-04 -7.460263E-06  8.442246E-07 -9.340145E-13
        10   5  1.073188E-01  1.882057E-04  1.795941E-04  7.460252E-06 -8.442234E-07 -9.349512E-13
        10   6  1.070314E-01 -1.067311E-04 -1.121294E-04  7.460263E-06 -8.442246E-07 -9.352930E-13
        10   7  1.073188E-01  1.882057E-04  1.795941E-04 -7.460252E-06 -8.442234E-07  9.353041E-13
        10   8  1.070314E-01 -1.067311E-04 -1.121294E-04 -7.460263E-06 -8.442247E-07  9.356623E-13
