candidate_id,tip_mm,width_mm,eccentric_mm,gap_mm,hook_depth_mm,hooks,ratio_denominator,orbit_rpm,screen_hole_mm,screen_thickness_mm,screen_arc_deg,rising_fraction,shear_ratio,chamber_mm,min_eccentric_sleeve_od_mm,root_web_mm,pin_pitch_radius_screen_mm,pin_plate_od_screen_mm,compact_pin_family_possible,compact_pin_limit_mm,kinematic_geometry_feasible,mechanism_status,bearing_status,reject_reasons,sampled_gap_mm
C1-SEED,110.0,40.0,7.0,0.8,12.0,8,8,116.0,4.0,2.0,100.0,0.72,5.333333333333333,125.6,32.0,12.0,69.30000000000001,164.60000000000002,True,178,True,PROFILE_CONTACT_CHECK_REQUIRED,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.800002992532022
C2-001,92.46298737360893,41.66976739641918,7.451636458766684,0.5894008172444913,10.939727219790209,9,11,131.97396296206315,4.635463474870705,2.0296303350188927,83.44363719262964,0.6835141254443017,5.333333333333333,108.54506192563127,32.90327291753337,4.291766467014256,98.36160125572025,222.7232025114405,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-002,103.75531928205177,38.72538190075219,9.399406194982333,1.0603981951309949,11.869540606304028,10,11,64.8942573350702,4.749083182815811,3.7512373752724777,89.30137232435796,0.6354880224740744,4.0,124.67492806227843,36.79881238996467,6.008119034721858,124.07216177376681,274.14432354753365,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-003,90.95879880516071,36.46673470887263,8.081532446313766,0.3988281042975017,8.234240290170064,9,11,157.61168552211853,3.3039962227483133,3.8656286321668265,98.27410932043742,0.700124644824904,3.0,107.91951990638324,34.16306489262753,6.245159112410292,106.67622829134172,239.35245658268343,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-004,113.36397500768095,39.3269319843878,12.033547850575808,0.4719924645943818,12.30821564456567,8,14,141.27028940546313,5.408225480353554,3.073190125504753,104.44087166442549,0.7344497909462968,5.333333333333333,138.37505563802134,42.067095701151615,6.873771859274804,198.55353953450086,423.1070790690017,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.4720087576968979
C2-005,111.96634145786118,40.64344688206121,10.82788083604974,1.1872823901553418,11.084780540785731,7,16,164.9118910373125,4.073731633233608,2.5480131405808457,84.95076158110278,0.7909342779618984,4.0,135.99666791027136,39.65576167209948,10.898390188144859,202.48137163413014,430.9627432682603,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,1.1872824143416807
C2-006,111.52247976275194,35.86083059453631,11.5490056503722,0.8759176298466298,11.509682678667627,8,13,165.35735222775406,5.176280209672207,2.521717046314595,128.09833463137193,0.7729749614046882,5.333333333333333,136.3723263231896,41.0980113007444,6.751557202708341,177.85468701573188,381.70937403146377,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.8759589975766886
C2-007,97.6207344684159,39.99466813097811,9.055458685403785,1.1015282801152906,11.796149969519746,9,7,138.4593201706922,4.928758008168543,3.351426193258959,127.58239767447137,0.7779548257846741,5.333333333333333,117.93470839945405,36.11091737080757,3.014217264688206,79.68803643155331,185.37607286310663,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-008,107.91617198017784,42.75903883803059,11.912766019465668,1.0778941363012025,9.216188271858066,9,9,92.27769557734172,4.719433559969934,2.463409827805452,121.0795845771682,0.7221864058073297,4.0,133.8974922917116,41.825532038931335,7.241897718230852,131.04042621412236,288.0808524282447,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,1.0780100042763223
C2-009,99.73037385577436,40.843841949420714,10.896148666575264,0.5210882674890107,12.84066684582346,8,6,108.33969694641374,5.338341753367319,3.0380014115349643,106.33348574724954,0.7789123790835782,4.0,122.56484772390291,39.79229733315053,3.0245200820637166,83.90034473262955,193.8006894652591,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-010,95.36454266389488,40.481774874133144,12.130063970607818,0.4199144123826266,8.200631685815138,10,6,120.9735974221903,3.489869763742067,2.6523756779140943,112.7849127254402,0.6475282414728453,3.0,120.46449942987577,42.260127941215636,1.981639646132301,93.4014925736802,212.8029851473604,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-011,101.99806921144993,42.812242521258845,9.956727942436725,0.8478452127316205,8.566268625790656,8,9,116.47333941397942,4.6689749277283195,2.2071063221069913,97.20790969652495,0.6972397273944708,5.333333333333333,123.60721552178663,37.91345588487345,8.43276597993431,109.52400736680397,245.04801473360794,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-012,114.85626254933243,37.58499673459453,11.819056403794104,1.1188320374368377,10.753721700426082,6,15,83.6316435490982,5.316121409954267,2.8764862309017767,81.68758291246127,0.6338674327923152,4.0,140.7320394317943,41.63811280758821,9.17440957424013,208.01539270677625,442.0307854135525,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,1.1246134694431476
C2-013,93.84821063669386,41.99719347693459,7.009832416254018,0.6474812721663941,8.446477125270345,8,11,165.7572892319005,4.951014342018063,3.294393156915616,93.37973200870572,0.7563805961530808,5.333333333333333,109.1628380135347,32.019664832508035,7.477628193076583,92.52978789455304,211.05957578910608,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-014,110.77870247959754,41.21385366473597,9.784421455937395,0.7872517940304713,13.806930328745269,6,14,138.98548900712552,5.436235444690239,2.715314426415923,83.92497065525423,0.7974319406143928,5.333333333333333,131.92204897953326,37.56884291187479,7.582420911053504,161.44295402296703,348.88590804593406,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.7872645893233283
C2-015,114.57870913085225,43.24666617770872,12.840598149062881,0.8532537864288525,12.630926768115591,9,6,142.86570151997324,3.47614847887034,2.2249462374233815,112.82273389854876,0.685705090277179,3.0,141.96641300183572,43.68119629812576,7.15842779731053,98.87260574778419,223.74521149556838,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.8532620218449836
C2-016,109.55600014536003,44.54702914490747,11.372810422638674,1.0800521632650768,11.473688524102228,8,11,169.50763647685437,5.091758450998093,2.741006575583623,116.54830893039396,0.6726045496387043,5.333333333333333,134.46172531716752,40.745620845277344,5.804311548577786,150.1210975788305,326.242195157661,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,1.0838669480129113
C2-017,95.04214750548984,37.06239007898111,7.204587808494198,0.667609932277839,10.146114765462892,9,7,156.5472153212679,3.8855988511521398,3.5333403857335792,80.3227554999136,0.6843814644964166,5.333333333333333,110.78654298703391,32.40917561698839,6.374958987282028,63.40037271474895,152.8007454294979,True,178,False,PROFILE_CONTACT_CHECK_REQUIRED,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-018,104.38207410048578,35.20691404702629,13.947279908385095,0.34890981754008465,11.215721721839623,10,8,115.48890957108242,5.1320421479758025,3.519641163714817,116.44023300939492,0.7251340115507519,3.0,132.97445355233614,45.89455981677019,0.9753153284032692,138.07807109301245,302.1561421860249,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-019,114.30288478922289,43.531017761374585,13.283716563207946,1.1439050065730454,13.422403921356308,8,10,163.92246930410954,3.2462921092437194,2.775691367074282,92.51458172198244,0.7285778404019033,3.0,143.15812792878486,44.56743312641589,6.229038473255137,160.73297041481615,347.4659408296323,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,1.1439475614008217
C2-020,106.87898352151846,40.95298610039923,12.201498671956955,0.9354659258048372,9.915335785881394,7,8,83.08958299404209,3.6762072701003254,3.4199394599217134,125.41469932217964,0.6503176333699981,3.0,133.15291271704206,42.40299734391391,6.024155974877836,120.79483685237386,267.5896737047477,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.9354800710764408
