object_id,category,container_type,expected_solids,solid_count,volume_mm3,bbox_x_mm,bbox_y_mm,bbox_z_mm,status,errors
PPR-C01,PRINT,Solid,1,1,83130.533,195.0,195.0,8.0,PASS,
PPR-C02,PRINT,Solid,1,1,199557.612,190.0,120.0,90.0,PASS,
PPR-C03,PRINT,Solid,1,1,18273.283,25.0,25.0,100.0,PASS,
PPR-C04,PRINT,Solid,1,1,32049.668,100.0,25.0,20.0,PASS,
PPR-C05,PRINT,Solid,1,1,76659.062,80.0,75.0,100.0,PASS,
PPR-C06,PRINT,Solid,1,1,31889.881,95.0,70.0,28.0,PASS,
PPR-C07,PRINT,Solid,1,1,66623.308,110.0,100.0,65.0,PASS,
PPR-C08,PRINT,Solid,1,1,32656.231,60.0,45.0,70.0,PASS,
PPR-C09,PRINT,Solid,1,1,24324.594,70.0,70.0,35.0,PASS,
PPR-C10,PRINT,Solid,1,1,71902.833,90.0,55.0,24.0,PASS,
PPR-C11,PRINT,Solid,1,1,49630.08,180.0,120.0,8.0,PASS,
PPR-C12,PRINT,Solid,1,1,5009.085,38.0,26.0,8.0,PASS,
PPR-TC01,TEST_COUPON,Solid,1,1,61595.286,120.0,80.0,18.0,PASS,
CUT-01,MACHINED,Compound,1,1,8715.737,57.62,6.0,56.692,PASS,
CUT-02,MACHINED,Compound,1,1,2066.948,28.0,28.0,7.0,PASS,
CUT-03,MACHINED,Compound,1,1,188962.1,150.0,125.0,12.0,PASS,
CUT-04,MACHINED,Compound,1,1,38703.983,135.0,120.0,3.0,PASS,
CUT-05,MACHINED,Compound,1,1,71682.047,20.0,240.0,20.0,PASS,
CUT-06,MACHINED,Compound,1,1,1545.538,30.0,30.0,4.0,PASS,
CUT-07,MACHINED,Compound,1,1,114815.822,180.0,140.0,6.0,PASS,
CUT-08,MACHINED,Compound,1,1,6898.597,108.0,60.0,2.0,PASS,
G1J-01,JIG_METAL,Compound,1,1,845132.248,380.0,280.0,8.0,PASS,
G1J-02,JIG_METAL,Compound,1,1,42695.453,300.0,25.0,6.0,PASS,
G1J-03,JIG_SHEET,Compound,1,1,224113.722,340.0,220.0,3.0,PASS,
G1J-04,JIG_SHEET,Compound,1,1,171313.722,220.0,260.0,3.0,PASS,
G1J-05,JIG_SHEET,Compound,1,1,168313.722,220.0,260.0,3.0,PASS,
G1J-06,JIG_SHEET,Compound,1,1,9259.148,45.0,70.0,3.0,PASS,
G1J-07,JIG_STOCK,Compound,1,1,16529.148,20.0,20.0,220.0,PASS,
G1J-08,JIG_STOCK,Compound,1,1,11304.967,20.0,150.0,20.0,PASS,
G1J-09,JIG_METAL,Compound,1,1,5456.383,50.0,30.0,30.0,PASS,
G1J-10,JIG_STOCK,Compound,1,1,14652.609,50.0,40.0,40.0,PASS,
G1J-11,JIG_STOCK,Compound,1,1,14652.609,50.0,40.0,40.0,PASS,
G1J-12,JIG_SHEET,Compound,1,1,231241.722,340.0,260.0,3.0,PASS,
G1J-P01,JIG_PRINT,Compound,1,1,61531.2,120.0,90.0,115.0,PASS,
G1J-P02,JIG_PRINT,Compound,1,1,67617.792,180.0,160.0,42.0,PASS,
G1J-P03,JIG_PRINT,Compound,1,1,16880.0,10.0,10.0,210.0,PASS,
EX-SCR-01,EXTRUDER_RFQ,Solid,1,1,39596.777,15.871,15.871,316.0,PASS,
EX-BAR-01,EXTRUDER_RFQ,Compound,1,1,193120.494,34.0,34.0,280.0,PASS,
EX-CPN-SCR,EXTRUDER_RFQ,Solid,1,1,4931.459,15.871,15.871,48.0,PASS,
EX-CPN-BAR,EXTRUDER_RFQ,Compound,1,1,42108.023,34.0,34.0,60.0,PASS,
EX-DIE-01,EXTRUDER_RFQ,Solid,1,1,68561.246,40.0,40.0,48.0,PASS,
EX-DIE-02,EXTRUDER_RFQ,Solid,1,1,353.131,2.0,15.9,15.9,PASS,
EX-DIE-03,EXTRUDER_RFQ,Solid,1,1,1384.819,11.9,11.9,14.0,PASS,
EX-DIE-04,EXTRUDER_RFQ,Solid,1,1,818.438,32.0,20.0,1.5,PASS,
EX-DIE-05,EXTRUDER_RFQ,Solid,1,1,319.092,0.5,34.0,34.0,PASS,
FrameColumn0_0,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,356000.0,20.0,20.0,890.0,PASS,
FrameColumn0_680,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,356000.0,20.0,20.0,890.0,PASS,
FrameColumn450_0,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,356000.0,20.0,20.0,890.0,PASS,
FrameColumn450_680,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,356000.0,20.0,20.0,890.0,PASS,
FrameX0_0,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,172000.0,430.0,20.0,20.0,PASS,
FrameX0_680,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,172000.0,430.0,20.0,20.0,PASS,
FrameY0_0,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,264000.0,20.0,660.0,20.0,PASS,
FrameY0_450,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,264000.0,20.0,660.0,20.0,PASS,
FrameX910_0,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,172000.0,430.0,20.0,20.0,PASS,
FrameX910_680,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,172000.0,430.0,20.0,20.0,PASS,
