material,throughput_gph,fan_duty_percent,duct_velocity_m_s,h_w_m2k,puller_entry_center_c,required_h_w_m2k,risk
PLA,50,40,2.0,35,39.6,28.6,PASS_VIRTUAL
PLA,50,70,3.5,50,30.0,28.6,PASS_VIRTUAL
PLA,50,100,5.0,65,26.7,28.6,PASS_VIRTUAL
PLA,100,40,2.0,35,75.5,57.1,SAG_OVALITY_RISK
PLA,100,70,3.5,50,54.6,57.1,SAG_OVALITY_RISK
PLA,100,100,5.0,65,42.4,57.1,PASS_VIRTUAL
PLA,150,40,2.0,35,101.4,85.7,SAG_OVALITY_RISK
PLA,150,70,3.5,50,78.6,85.7,SAG_OVALITY_RISK
PLA,150,100,5.0,65,62.6,85.7,SAG_OVALITY_RISK
PLA,200,40,2.0,35,119.0,114.3,SAG_OVALITY_RISK
PLA,200,70,3.5,50,97.0,114.3,SAG_OVALITY_RISK
PLA,200,100,5.0,65,80.2,114.3,SAG_OVALITY_RISK
PET,50,40,2.0,35,30.8,16.8,PASS_VIRTUAL
PET,50,70,3.5,50,26.2,16.8,PASS_VIRTUAL
PET,50,100,5.0,65,25.2,16.8,PASS_VIRTUAL
PET,100,40,2.0,35,62.2,33.6,PASS_VIRTUAL
PET,100,70,3.5,50,41.7,33.6,PASS_VIRTUAL
PET,100,100,5.0,65,32.5,33.6,PASS_VIRTUAL
PET,150,40,2.0,35,94.2,50.4,SAG_OVALITY_RISK
PET,150,70,3.5,50,65.6,50.4,SAG_OVALITY_RISK
PET,150,100,5.0,65,48.9,50.4,PASS_VIRTUAL
PET,200,40,2.0,35,119.5,67.3,SAG_OVALITY_RISK
PET,200,70,3.5,50,88.4,67.3,SAG_OVALITY_RISK
PET,200,100,5.0,65,67.5,67.3,SAG_OVALITY_RISK
