Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n X7R","C_Disc_D5.0mm_W2.5mm_P2.50mm",145.415000,-35.560000,-90.000000,top
"D1","1N4148-TAP","D_DO-35_SOD27_P7.62mm_Horizontal",42.545000,-10.160000,0.000000,top
"D2","1N4148-TAP","D_DO-35_SOD27_P7.62mm_Horizontal",42.545000,-23.495000,0.000000,top
"D3","1N4148-TAP","D_DO-35_SOD27_P7.62mm_Horizontal",42.545000,-36.830000,0.000000,top
"D4","1N4148-TAP","D_DO-35_SOD27_P7.62mm_Horizontal",42.545000,-50.165000,0.000000,top
"D5","1N4148-TAP","D_DO-35_SOD27_P7.62mm_Horizontal",42.545000,-63.500000,0.000000,top
"D6","1N4148-TAP","D_DO-35_SOD27_P7.62mm_Horizontal",42.545000,-76.835000,0.000000,top
"D7","1N4148-TAP","D_DO-35_SOD27_P7.62mm_Horizontal",42.545000,-90.170000,0.000000,top
"D8","1N4148-TAP","D_DO-35_SOD27_P7.62mm_Horizontal",42.545000,-103.505000,0.000000,top
"FID1","FIDUCIAL_1MM","Fiducial_1mm_Mask2mm",15.000000,-5.000000,0.000000,top
"FID2","FIDUCIAL_1MM","Fiducial_1mm_Mask2mm",175.000000,-5.000000,0.000000,top
"FID3","FIDUCIAL_1MM","Fiducial_1mm_Mask2mm",175.000000,-125.000000,0.000000,top
"J1","FIELD_DRY_CONTACTS","PinHeader_2x10_P2.54mm_Vertical",7.620000,-45.720000,0.000000,top
"J2","MEGA_DIAGNOSTICS","PinHeader_1x10_P2.54mm_Vertical",91.440000,-43.180000,0.000000,top
"J3","MEGA_COMMANDS","PinHeader_1x10_P2.54mm_Vertical",109.220000,-12.700000,0.000000,top
"J4","EXTERNAL_DRIVER_COMMANDS","PinHeader_1x10_P2.54mm_Vertical",182.880000,-12.700000,0.000000,top
"R1","4.7k 1%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",27.940000,-10.160000,0.000000,top
"R2","4.7k 1%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",27.940000,-23.495000,0.000000,top
"R3","4.7k 1%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",27.940000,-36.830000,0.000000,top
"R4","4.7k 1%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",27.940000,-50.165000,0.000000,top
"R5","4.7k 1%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",27.940000,-63.500000,0.000000,top
"R6","4.7k 1%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",27.940000,-76.835000,0.000000,top
