"Reference","Value","Footprint","Manufacturer","MPN","Datasheet","Sourcing","Comments","Quantity"
"C1","100n X7R","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","TBD","TBD","~","BUY","","1"
"D1-D8","1N4148-TAP","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Vishay","1N4148-TAP","https://www.vishay.com/docs/81857/1n4148.pdf","BUY","","8"
"J1","FIELD_DRY_CONTACTS","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","TBD","TBD","~","BUY","","1"
"J2","MEGA_DIAGNOSTICS","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","TBD","TBD","~","BUY","","1"
"J3","MEGA_COMMANDS","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","TBD","TBD","~","BUY","","1"
"J4","EXTERNAL_DRIVER_COMMANDS","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","TBD","TBD","~","BUY","","1"
"R1-R8","4.7k 1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TBD","TBD","~","BUY","","8"
"R9-R16","10k 1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TBD","TBD","~","BUY","","8"
"R17-R24,R33-R40","47k 1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TBD","TBD","~","BUY","","16"
"R25-R32","100R 1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TBD","TBD","~","BUY","","8"
"U1-U8","LTV-817S-TA1","Package_DIP:SMDIP-4_W9.53mm","Lite-On","LTV-817S-TA1","https://optoelectronics.liteon.com/upload/download/DS-70-96-0016/LTV-8X7%20series%20RevQ.PDF","BUY","","8"
"U9","SN74AHCT541N","Package_DIP:DIP-20_W7.62mm_LongPads","Texas Instruments","SN74AHCT541N","https://www.ti.com/lit/ds/symlink/sn74ahct541.pdf","BUY","","1"
