drawing,object,kind,axis,diameter_mm,coordinate_axes,u_mm,v_mm,start_mm,end_mm
D01,GGM_SH_Base,ID,Z,5.5,XY,15.0,183.0,0.0,6.0
D01,GGM_SH_Base,ID,Z,5.5,XY,15.0,243.0,0.0,6.0
D01,GGM_SH_Base,ID,Z,5.5,XY,208.0,183.0,0.0,6.0
D01,GGM_SH_Base,ID,Z,5.5,XY,208.0,243.0,0.0,6.0
D01,GGM_SH_Base,ID,Z,6.6,XY,50.0,50.0,0.0,6.0
D01,GGM_SH_Base,ID,Z,6.6,XY,50.0,230.0,0.0,6.0
D01,GGM_SH_Base,ID,Z,6.6,XY,180.0,50.0,0.0,6.0
D01,GGM_SH_Base,ID,Z,6.6,XY,180.0,230.0,0.0,6.0
D02,GGM_SH_Mount,ID,Y,2.5,XZ,41.0,122.16700000000003,0.0,6.0
D02,GGM_SH_Mount,ID,Y,2.5,XZ,41.0,158.16700000000003,0.0,6.0
D02,GGM_SH_Mount,ID,Y,2.5,XZ,99.0,122.16700000000003,0.0,6.0
D02,GGM_SH_Mount,ID,Y,2.5,XZ,99.0,158.16700000000003,0.0,6.0
D02,GGM_SH_Mount,ID,Y,6.6,XZ,33.23044737829953,85.3974473782996,0.0,6.0
D02,GGM_SH_Mount,ID,Y,6.6,XZ,33.23044737829953,158.93655262170046,0.0,6.0
D02,GGM_SH_Mount,ID,Y,6.6,XZ,106.76955262170048,85.3974473782996,0.0,6.0
D02,GGM_SH_Mount,ID,Y,6.6,XZ,106.76955262170048,158.93655262170046,0.0,6.0
D02,GGM_SH_Mount,ID,Y,36.5,XZ,70.0,140.16700000000003,0.0,6.0
D03,GGM_EX_Mount,ID,Y,2.5,XZ,32.0,41.0,0.0,6.0
D03,GGM_EX_Mount,ID,Y,2.5,XZ,32.0,99.0,0.0,6.0
D03,GGM_EX_Mount,ID,Y,2.5,XZ,68.0,41.0,0.0,6.0
D03,GGM_EX_Mount,ID,Y,2.5,XZ,68.0,99.0,0.0,6.0
D03,GGM_EX_Mount,ID,Y,5.5,XZ,10.0,13.0,0.0,6.0
D03,GGM_EX_Mount,ID,Y,5.5,XZ,90.0,13.0,0.0,6.0
D03,GGM_EX_Mount,ID,Y,6.6,XZ,31.230447378299516,33.230447378299516,0.0,6.0
D03,GGM_EX_Mount,ID,Y,6.6,XZ,31.230447378299516,106.76955262170048,0.0,6.0
D03,GGM_EX_Mount,ID,Y,6.6,XZ,104.76955262170048,33.230447378299516,0.0,6.0
D03,GGM_EX_Mount,ID,Y,6.6,XZ,104.76955262170048,106.76955262170048,0.0,6.0
D03,GGM_EX_Mount,ID,Y,36.5,XZ,50.0,70.0,0.0,6.0
D04,GGM_SH_BearingPlate273,ID,Y,2.5,XZ,65.0,7.83299999999997,0.0,10.0
D04,GGM_SH_BearingPlate273,ID,Y,2.5,XZ,88.0,30.0,0.0,10.0
D04,GGM_SH_BearingPlate273,ID,Y,2.5,XZ,128.0,30.0,0.0,10.0
D04,GGM_SH_BearingPlate273,ID,Y,2.5,XZ,151.0,7.83299999999997,0.0,10.0
D04,GGM_SH_BearingPlate273,ID,Y,5.5,XZ,10.0,10.0,0.0,10.0
D04,GGM_SH_BearingPlate273,ID,Y,5.5,XZ,10.0,50.0,0.0,10.0
D04,GGM_SH_BearingPlate273,ID,Y,5.5,XZ,203.0,10.0,0.0,10.0
D04,GGM_SH_BearingPlate273,ID,Y,5.5,XZ,203.0,50.0,0.0,10.0
D04,GGM_SH_BearingPlate273,ID,Y,32.03,XZ,108.0,30.0,0.0,10.0
D04R,GGM_SH_BearingPlate303,ID,Y,2.5,XZ,88.0,30.0,0.0,10.0
D04R,GGM_SH_BearingPlate303,ID,Y,2.5,XZ,128.0,30.0,0.0,10.0
D04R,GGM_SH_BearingPlate303,ID,Y,5.5,XZ,10.0,10.0,0.0,10.0
D04R,GGM_SH_BearingPlate303,ID,Y,5.5,XZ,10.0,50.0,0.0,10.0
D04R,GGM_SH_BearingPlate303,ID,Y,5.5,XZ,203.0,10.0,0.0,10.0
D04R,GGM_SH_BearingPlate303,ID,Y,5.5,XZ,203.0,50.0,0.0,10.0
D04R,GGM_SH_BearingPlate303,ID,Y,32.03,XZ,108.0,30.0,0.0,10.0
D05,GGM_SH_Jackshaft,OD,Y,12.0,XZ,6.0,6.0,0.0,78.0
D06,GGM_SH_FuseInput,ID,Y,3.1,XZ,7.0,23.0,22.0,26.0
D06,GGM_SH_FuseInput,ID,Y,12.05,XZ,23.0,23.0,0.0,30.0
D06,GGM_SH_FuseInput,OD,Y,20.0,XZ,23.0,23.0,26.0,30.0
D06,GGM_SH_FuseInput,OD,Y,28.0,XZ,23.0,23.0,0.0,22.0
D06,GGM_SH_FuseInput,OD,Y,46.0,XZ,23.0,23.0,22.0,26.0
D06,GGM_SH_FuseInput,ID,Z,3.3,XY,23.0,12.0,31.024999999999977,37.002536399437645
D07,GGM_SH_FuseOutput,ID,Y,3.1,XZ,7.0,23.0,0.0,4.0
D07,GGM_SH_FuseOutput,ID,Y,12.05,XZ,23.0,23.0,4.199999999999989,26.0
D07,GGM_SH_FuseOutput,ID,Y,20.1,XZ,23.0,23.0,0.0,4.199999999999989
D07,GGM_SH_FuseOutput,OD,Y,28.0,XZ,23.0,23.0,4.0,26.0
D07,GGM_SH_FuseOutput,OD,Y,46.0,XZ,23.0,23.0,0.0,4.0
D07,GGM_SH_FuseOutput,ID,Z,3.3,XY,23.0,14.0,31.024999999999977,37.002536399437645
D08,GGM_SH_FusePinBlank,OD,Y,3.0,XZ,2.0,2.0,1.0,12.699999999999989
D08,GGM_SH_FusePinBlank,OD,Y,4.0,XZ,2.0,2.0,0.0,1.0
D08,GGM_SH_FusePinBlank,ID,Z,0.9,XY,2.0,11.300000000000011,0.4983306612018623,3.5016693387982514
D09,GGM_SH_BearingCap271,ID,Y,3.4,XZ,3.0,23.0,0.0,2.0
D09,GGM_SH_BearingCap271,ID,Y,3.4,XZ,43.0,23.0,0.0,2.0
D09,GGM_SH_BearingCap271,ID,Y,27.4,XZ,23.0,23.0,0.0,2.0
D09,GGM_SH_BearingCap271,OD,Y,46.0,XZ,23.0,23.0,0.0,2.0
D10,GGM_EX_RadialHolder,ID,Y,2.5,XZ,4.0,24.0,0.0,10.0
D10,GGM_EX_RadialHolder,ID,Y,2.5,XZ,44.0,24.0,0.0,10.0
D10,GGM_EX_RadialHolder,ID,Y,4.5,XZ,5.0,5.0,0.0,10.0
D10,GGM_EX_RadialHolder,ID,Y,4.5,XZ,5.0,43.0,0.0,10.0
D10,GGM_EX_RadialHolder,ID,Y,4.5,XZ,43.0,5.0,0.0,10.0
D10,GGM_EX_RadialHolder,ID,Y,4.5,XZ,43.0,43.0,0.0,10.0
D10,GGM_EX_RadialHolder,ID,Y,32.03,XZ,24.0,24.0,0.0,10.0
D11,GGM_EX_RadialCap,ID,Y,3.4,XZ,3.0,23.0,0.0,2.0
D11,GGM_EX_RadialCap,ID,Y,3.4,XZ,43.0,23.0,0.0,2.0
D11,GGM_EX_RadialCap,ID,Y,27.4,XZ,23.0,23.0,0.0,2.0
D11,GGM_EX_RadialCap,OD,Y,46.0,XZ,23.0,23.0,0.0,2.0
D13,GGM_SH_Spacer_90_100,ID,Z,6.6,XY,6.0,6.0,0.0,10.0
D13,GGM_SH_Spacer_90_100,OD,Z,12.0,XY,6.0,6.0,0.0,10.0
D14,GGM_JackInnerSpacer_front,ID,Y,12.1,XZ,8.5,8.5,0.0,2.5999999999999943
D14,GGM_JackInnerSpacer_front,OD,Y,17.0,XZ,8.5,8.5,0.0,2.5999999999999943
D16,GGM_SH_CouplingGuard,ID,Y,3.4,XZ,8.996710383926654,20.0,0.0,2.0
D16,GGM_SH_CouplingGuard,ID,Y,3.4,XZ,8.996710383926654,56.0,0.0,2.0
