symbol,mega_pin,wire_id,source,revision
SHREDDER_RPM_PIN,2,SIG-2,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
PULLER_TACH_PIN,3,SIG-3,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
ENCODER_A_PIN,18,SIG-18,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
ENCODER_B_PIN,19,SIG-19,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
ESTOP_PIN,20,SIG-20,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
LID_PIN,21,SIG-21,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SERVICE_GUARD_PIN,22,SIG-22,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
THERMAL_CHAIN_PIN,23,SIG-23,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
HEATER_PERMISSION_FEEDBACK_PIN,24,SIG-24,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
START_PIN,25,SIG-25,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
PAUSE_PIN,26,SIG-26,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
BACK_PIN,27,SIG-27,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
CONFIRM_PIN,28,SIG-28,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
ENCODER_BUTTON_PIN,29,SIG-29,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SHREDDER_DIR_PIN,30,SIG-30,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SHREDDER_REVERSE_PIN,31,SIG-31,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SHREDDER_ENABLE_PIN,32,SIG-32,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SCREW_DIR_PIN,33,SIG-33,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SCREW_ENABLE_PIN,34,SIG-34,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
PULLER_DIR_PIN,35,SIG-35,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
PULLER_ENABLE_PIN,36,SIG-36,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SPOOLER_DIR_PIN,37,SIG-37,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SPOOLER_ENABLE_PIN,38,SIG-38,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
TRAVERSE_STEP_PIN,39,SIG-39,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
TRAVERSE_DIR_PIN,40,SIG-40,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
TRAVERSE_ENABLE_PIN,41,SIG-41,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
LOCKOUT_CONFIRM_PIN,43,SIG-43,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
FAN_TACH_MUX_SELECT_PIN,49,SIG-49,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
FEEDER_DIR_PIN,42,SIG-42,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
FEEDER_PWM_PIN,44,SIG-44,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
FEEDER_ENABLE_PIN,46,SIG-46,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
FEEDER_FAULT_PIN,47,SIG-47,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SHREDDER_PWM_PIN,5,SIG-5,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SCREW_PWM_PIN,6,SIG-6,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
PULLER_PWM_PIN,7,SIG-7,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SPOOLER_PWM_PIN,8,SIG-8,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
