part_id,stock,cut_length_mm,quantity,end_condition,length_tolerance_mm,source,release_state,cad_object,profile_type,axis,section_orientation,mounting_reference,reuse_state
FRM-FrameBottomCross405,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameBottomCross405,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameBottomCross405,2020,X,20x20,FrameY0_0;FrameY0_450,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameBottomCross440,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameBottomCross440,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameBottomCross440,2020,X,20x20,FrameY0_0;FrameY0_450;FrameTraversePostLeft;DancerSupportPost,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameBottomCross608,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameBottomCross608,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameBottomCross608,2020,X,20x20,FrameY0_0;FrameY0_450;FrameSpoolColumnRear;FrameTraversePostRight,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameColumn0_0,20x20 aluminum profile,890.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameColumn0_0,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameColumn0_0,2020,Z,20x20,FrameX0_0;FrameY0_0;FrameX910_0;FrameY910_0;FrameTierY320_0;FrameTierY500_0,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameColumn0_680,20x20 aluminum profile,890.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameColumn0_680,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameColumn0_680,2020,Z,20x20,FrameX0_680;FrameY0_0;FrameX910_680;FrameY910_0;FrameTierY320_0;FrameTierY500_0,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameColumn450_0,20x20 aluminum profile,890.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameColumn450_0,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameColumn450_0,2020,Z,20x20,FrameX0_0;FrameY0_450;FrameX910_0;FrameY910_450;FrameTierY320_450;FrameTierY500_450,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameColumn450_680,20x20 aluminum profile,890.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameColumn450_680,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameColumn450_680,2020,Z,20x20,FrameX0_680;FrameY0_450;FrameX910_680;FrameY910_450;FrameTierY320_450;FrameTierY500_450,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameSpoolColumnFront,20x20 aluminum profile,295.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameSpoolColumnFront,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameSpoolColumnFront,2020,Z,20x20,Spool;SpoolBearingPlateFront;GGM_ExMotorRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameSpoolColumnRear,20x20 aluminum profile,300.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameSpoolColumnRear,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameSpoolColumnRear,2020,Z,20x20,FrameBottomCross608;FrameTraversePostRight;SpoolBearingPlateRear;SpoolMotorMount;SpoolTopSegment497,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameTierY320_0,20x20 aluminum profile,660.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameTierY320_0,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameTierY320_0,2020,Y,20x20,FrameColumn0_0;FrameColumn0_680;MidRail320;GGM_HotRearRail;GGM_ThrustRail;GGM_ExMotorRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameTierY320_450,20x20 aluminum profile,660.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameTierY320_450,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameTierY320_450,2020,Y,20x20,FrameColumn450_0;FrameColumn450_680;MidRail320;GGM_HotRearRail;GGM_ThrustRail;GGM_ExMotorRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameTierY500_0,20x40 aluminum profile,660.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameTierY500_0,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameTierY500_0,2040,Y,40 mm side vertical,FrameColumn0_0;FrameColumn0_680;MidRail500;ControlEmergencyStopEnvelope;GGM_ShredRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameTierY500_450,20x40 aluminum profile,660.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameTierY500_450,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameTierY500_450,2040,Y,40 mm side vertical,FrameColumn450_0;FrameColumn450_680;MidRail500;GGM_ShredRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameTraversePostLeft,20x20 aluminum profile,280.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameTraversePostLeft,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameTraversePostLeft,2020,Z,20x20,FrameY0_450;FrameBottomCross440;TraverseEndPlateLeft,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameTraversePostRight,20x20 aluminum profile,280.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameTraversePostRight,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameTraversePostRight,2020,Z,20x20,FrameY0_450;FrameBottomCross608;FrameSpoolColumnRear;TraverseEndPlateRight,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameX0_0,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameX0_0,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameX0_0,2020,X,20x20,FrameColumn0_0;FrameColumn450_0;FrameY0_0;FrameY0_450;PPR_C07_PullerGuard,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameX0_680,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameX0_680,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameX0_680,2020,X,20x20,FrameColumn0_680;FrameColumn450_680;FrameY0_0;FrameY0_450,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
