date_time,operator,reviewer,material,specimen_id,actual_thickness_or_fold_mm,trial,peak_N,radius_m,calculated_peak_Nm,force_angle_deg,failure_mode,permanent_damage,observation,photo_video_path,raw_log_path,pass_fail
,,,PLA,PLA12-01,,1,,0.2500,,,,,,,,
,,,PLA,PLA12-02,,2,,0.2500,,,,,,,,
,,,PLA,PLA12-03,,3,,0.2500,,,,,,,,
,,,PLA,PLA12-04,,4,,0.2500,,,,,,,,
,,,PLA,PLA12-05,,5,,0.2500,,,,,,,,
,,,PLA,PLA20-01,,1,,0.2500,,,,,,,,
,,,PLA,PLA20-02,,2,,0.2500,,,,,,,,
,,,PLA,PLA20-03,,3,,0.2500,,,,,,,,
,,,PLA,PLA20-04,,4,,0.2500,,,,,,,,
,,,PLA,PLA20-05,,5,,0.2500,,,,,,,,
,,,PLA,PLA30-01,,1,,0.2500,,,,,,,,
,,,PLA,PLA30-02,,2,,0.2500,,,,,,,,
,,,PLA,PLA30-03,,3,,0.2500,,,,,,,,
,,,PLA,PLA30-04,,4,,0.2500,,,,,,,,
,,,PLA,PLA30-05,,5,,0.2500,,,,,,,,
,,,PET,PET-B-01,,1,,0.2500,,,,,,,,
,,,PET,PET-B-02,,2,,0.2500,,,,,,,,
,,,PET,PET-B-03,,3,,0.2500,,,,,,,,
,,,PET,PET-B-04,,4,,0.2500,,,,,,,,
,,,PET,PET-B-05,,5,,0.2500,,,,,,,,
,,,PET,PET-F-01,,1,,0.2500,,,,,,,,
,,,PET,PET-F-02,,2,,0.2500,,,,,,,,
,,,PET,PET-F-03,,3,,0.2500,,,,,,,,
,,,PET,PET-F-04,,4,,0.2500,,,,,,,,
,,,PET,PET-F-05,,5,,0.2500,,,,,,,,
