t_s,M1_A,M2_A,heater100a,heater100b,heater100c,heater60,admitted_W
0,0,0,1,1,1,1,407.84000000000003
1,0,0,1,1,1,1,407.84000000000003
2,0,0,1,1,1,1,407.84000000000003
3,0,0,1,1,1,1,407.84000000000003
4,0,0,1,1,1,1,407.84000000000003
5,0,0,1,1,1,1,407.84000000000003
6,0,0,1,1,1,1,407.84000000000003
7,0,0,1,1,1,1,407.84000000000003
8,0,0,1,1,1,1,407.84000000000003
9,0,0,1,1,1,1,407.84000000000003
10,0,0,1,1,1,1,407.84000000000003
11,0,0,1,1,1,1,407.84000000000003
12,0,0,1,1,1,1,407.84000000000003
13,0,0,1,1,1,1,407.84000000000003
14,0,0,1,1,1,1,407.84000000000003
15,0,0,1,1,1,1,407.84000000000003
16,0,0,1,1,1,1,407.84000000000003
17,0,0,1,1,1,1,407.84000000000003
18,0,0,1,1,1,1,407.84000000000003
19,0,0,1,1,1,1,407.84000000000003
20,0,0,1,1,1,1,407.84000000000003
21,0,0,1,1,1,1,407.84000000000003
22,0,0,1,1,1,1,407.84000000000003
23,0,0,1,1,1,1,407.84000000000003
24,0,0,1,1,1,1,407.84000000000003
25,0,0,1,1,1,1,407.84000000000003
26,0,0,1,1,1,1,407.84000000000003
27,0,0,1,1,1,1,407.84000000000003
28,0,0,1,1,1,1,407.84000000000003
29,0,0,1,1,1,1,407.84000000000003
30,0,0,1,1,1,1,407.84000000000003
31,0,0,1,1,1,1,407.84000000000003
32,0,0,1,1,1,1,407.84000000000003
33,0,0,1,1,1,1,407.84000000000003
34,0,0,1,1,1,1,407.84000000000003
35,0,0,1,1,1,1,407.84000000000003
36,0,0,1,1,1,1,407.84000000000003
37,0,0,1,1,1,1,407.84000000000003
38,0,0,1,1,1,1,407.84000000000003
39,0,0,1,1,1,1,407.84000000000003
40,0,0,1,1,1,1,407.84000000000003
41,0,0,1,1,1,1,407.84000000000003
42,0,0,1,1,1,1,407.84000000000003
43,0,0,1,1,1,1,407.84000000000003
44,0,0,1,1,1,1,407.84000000000003
45,0,0,1,1,1,1,407.84000000000003
