scenario,time_s,signal,value
LowSpeedTachShredder,0.0,der(filteredRpm),20.0
LowSpeedTachShredder,0.0,duplicateRejected,1.0
LowSpeedTachShredder,0.0,estimateErrorRpm,-5.0
LowSpeedTachShredder,0.0,filteredRpm,0.0
LowSpeedTachShredder,0.0,nominalPulseIntervalUs,2000000.0
LowSpeedTachShredder,0.0,observedPulseIntervalUs,2000000.0
LowSpeedTachShredder,0.0,pulseAgeUs,2000000.0
LowSpeedTachShredder,0.0,rawRpm,5.0
LowSpeedTachShredder,0.0,reciprocalMode,1.0
LowSpeedTachShredder,0.0,rolloverHandled,1.0
LowSpeedTachShredder,0.0,tachValid,1.0
LowSpeedTachShredder,0.0,timestampDeltaCorrectedUs,2000000.0
LowSpeedTachShredder,0.0,timestampDeltaSignedUs,2000000.0
LowSpeedTachShredder,4.95,der(filteredRpm),-3.883043930841268e-08
LowSpeedTachShredder,4.95,duplicateRejected,1.0
LowSpeedTachShredder,4.95,estimateErrorRpm,9.70760982710317e-09
LowSpeedTachShredder,4.95,filteredRpm,5.00000000970761
LowSpeedTachShredder,4.95,nominalPulseIntervalUs,2000000.0
LowSpeedTachShredder,4.95,observedPulseIntervalUs,2000000.0
LowSpeedTachShredder,4.95,pulseAgeUs,2000000.0
LowSpeedTachShredder,4.95,rawRpm,5.0
LowSpeedTachShredder,4.95,reciprocalMode,1.0
LowSpeedTachShredder,4.95,rolloverHandled,1.0
LowSpeedTachShredder,4.95,tachValid,1.0
LowSpeedTachShredder,4.95,timestampDeltaCorrectedUs,2000000.0
LowSpeedTachShredder,4.95,timestampDeltaSignedUs,2000000.0
LowSpeedTachShredder,9.95,der(filteredRpm),1.06403774680075e-11
LowSpeedTachShredder,9.95,duplicateRejected,1.0
LowSpeedTachShredder,9.95,estimateErrorRpm,-2.660094367001875e-12
LowSpeedTachShredder,9.95,filteredRpm,4.99999999999734
LowSpeedTachShredder,9.95,nominalPulseIntervalUs,2000000.0
LowSpeedTachShredder,9.95,observedPulseIntervalUs,2000000.0
LowSpeedTachShredder,9.95,pulseAgeUs,2000000.0
LowSpeedTachShredder,9.95,rawRpm,5.0
LowSpeedTachShredder,9.95,reciprocalMode,1.0
LowSpeedTachShredder,9.95,rolloverHandled,1.0
LowSpeedTachShredder,9.95,tachValid,1.0
LowSpeedTachShredder,9.95,timestampDeltaCorrectedUs,2000000.0
LowSpeedTachShredder,9.95,timestampDeltaSignedUs,2000000.0
LowSpeedTachShredder,15.0,der(filteredRpm),5.933031843596837e-13
LowSpeedTachShredder,15.0,duplicateRejected,1.0
LowSpeedTachShredder,15.0,estimateErrorRpm,-1.483257960899209e-13
LowSpeedTachShredder,15.0,filteredRpm,4.999999999999852
LowSpeedTachShredder,15.0,nominalPulseIntervalUs,2000000.0
LowSpeedTachShredder,15.0,observedPulseIntervalUs,2000000.0
LowSpeedTachShredder,15.0,pulseAgeUs,2000000.0
LowSpeedTachShredder,15.0,rawRpm,5.0
LowSpeedTachShredder,15.0,reciprocalMode,1.0
LowSpeedTachShredder,15.0,rolloverHandled,1.0
LowSpeedTachShredder,15.0,tachValid,1.0
LowSpeedTachShredder,15.0,timestampDeltaCorrectedUs,2000000.0
LowSpeedTachShredder,15.0,timestampDeltaSignedUs,2000000.0
LowSpeedTachShredder,20.0,der(filteredRpm),3.197442310920451e-14
LowSpeedTachShredder,20.0,duplicateRejected,1.0
LowSpeedTachShredder,20.0,estimateErrorRpm,-7.993605777301127e-15
